CoilID,xgb,xgb_d2,lgbm,extra_trees,random_forest,model_avg,model_rank,nearest_train_positive,nearest_positive_distance,continuity_guard,guard_reason,context_score,hybrid_score,Y
654,0.9362085,0.91197306,0.9008058992562881,0.595,0.568,0.7823974889981387,1.0,655,1,1,near_pos=655;d=1;continuity=1,0.8187307530779818,0.9315213341828176,1
958,0.8590562,0.6971608,0.7448644886549508,0.4,0.281,0.5964162887679775,3.0,957,1,1,near_pos=957;d=1;continuity=1,0.8187307530779818,0.7455401339526564,1
1111,0.64714617,0.79397386,0.5335897732852227,0.328,0.38,0.5365419603562022,4.0,1110,1,1,near_pos=1110;d=1;continuity=1,0.8187307530779818,0.6856658055408811,1
822,0.67671347,0.51111645,0.6708550103352058,0.316,0.382,0.5113369844088076,7.0,823,1,1,near_pos=823;d=1;continuity=1,0.8187307530779818,0.6604608295934865,1
776,0.62422174,0.63796693,0.4138363986498295,0.194,0.168,0.40760501433384777,10.0,778,2,1,near_pos=778;d=2;continuity=1,0.6703200460356393,0.5478242170959862,1
1184,0.6591191,0.6766905,0.34299742968185987,0.178,0.07,0.38536141554376335,14.0,1182,2,1,near_pos=1182;d=2;continuity=1,0.6703200460356393,0.5255806183059017,1
994,0.45929268,0.47816536,0.1753922317653453,0.103,0.114,0.2659700540190847,19.0,995,1,1,near_pos=995;d=1;continuity=1,0.8187307530779818,0.4150938992037636,1
996,0.36518073,0.46236706,0.09828865402634489,0.123,0.239,0.257567288529268,22.0,995,1,1,near_pos=995;d=1;continuity=1,0.8187307530779818,0.40669113371394694,1
376,0.2968652,0.19694602,0.23441797604203768,0.31,0.233,0.25424583919453736,23.0,377,1,1,near_pos=377;d=1;continuity=1,0.8187307530779818,0.4033696843792163,1
1494,0.09986091,0.052253082,0.07436076913800084,0.143,0.086,0.09109495162671058,48.0,1495,1,1,near_pos=1495;d=1;continuity=1,0.8187307530779818,0.2402187968113895,1
622,0.03661089,0.0779564,0.026389982283277328,0.061,0.045,0.0493914546549644,67.0,624,2,1,near_pos=624;d=2;continuity=1,0.6703200460356393,0.18961065741710276,1
797,0.011675373,0.060348947,0.013905380401501664,0.124,0.036,0.04918593994448376,68.0,796,1,1,near_pos=796;d=1;continuity=1,0.8187307530779818,0.19830978512916267,1
711,0.0067726434,0.009029901,0.005279819826134731,0.033,0.021,0.015016472780426084,124.0,709,2,1,near_pos=709;d=2;continuity=1,0.6703200460356393,0.15523567554256446,1
532,0.91549486,0.90039605,0.8544027245539251,0.341,0.312,0.6646587265590395,2.0,531,1,0,,0.8187307530779818,0.7137825717437184,1
246,0.7064164,0.7123793,0.34332032670369783,0.227,0.589,0.5156232063090623,5.0,258,12,0,,0.09071795328941251,0.521066283506427,1
1183,0.8697079,0.83083403,0.6342236394039815,0.108,0.116,0.5117531105826701,6.0,1182,1,0,,0.8187307530779818,0.5608769557673491,1
694,0.5654066,0.68289924,0.30422188552203605,0.329,0.377,0.451705548540717,8.0,688,6,0,,0.30119421191220214,0.4697772012554491,1
297,0.4796571,0.5096456,0.6661904381266635,0.231,0.154,0.40809862658483587,9.0,296,1,0,,0.8187307530779818,0.4572224717695148,1
829,0.68862045,0.54627126,0.3684120930998034,0.212,0.212,0.4054607611530723,11.0,823,6,0,,0.30119421191220214,0.4235324138678044,1
1187,0.53008646,0.6315159,0.4092115700726145,0.247,0.166,0.39676278959283096,12.0,1182,5,0,,0.36787944117144233,0.4188355560631175,1
759,0.47596952,0.35175964,0.48116132328184713,0.243,0.408,0.39197809776717873,13.0,758,1,0,,0.8187307530779818,0.4411019429518577,1
274,0.4512101,0.5750264,0.211160970893526,0.289,0.31,0.3672794950419712,15.0,258,16,0,,0.04076220397836621,0.3697252272806732,1
1137,0.3850453,0.526053,0.2771141049027164,0.227,0.157,0.3144424812626783,16.0,1153,16,0,,0.04076220397836621,0.3168882135013803,1
835,0.48727146,0.42205474,0.05826226983835201,0.14,0.28,0.277517693111042,17.0,837,2,0,,0.6703200460356393,0.3177368958731804,1
803,0.27132663,0.29443917,0.5970460907458782,0.094,0.082,0.26776237776755335,18.0,796,7,0,,0.2465969639416065,0.2825581956040497,0
1138,0.40058658,0.5235424,0.10764026453503016,0.128,0.166,0.26515384879590675,20.0,1153,15,0,,0.049787068367863944,0.2681410728979786,0
1097,0.30894226,0.4853066,0.2397138068623223,0.116,0.143,0.2585925312031682,21.0,1110,13,0,,0.07427357821433388,0.26304894589602823,0
1346,0.29055998,0.42925432,0.2032490903125118,0.195,0.109,0.24541267816992424,24.0,1436,90,0,,1.522997974471263e-08,0.24541267908372302,0
1073,0.40993348,0.47230515,0.051959118609828374,0.104,0.165,0.24063954901798618,25.0,1080,7,0,,0.2465969639416065,0.25543536685448254,0
730,0.24814597,0.2864155,0.08717742720469572,0.216,0.333,0.2341477764908964,26.0,722,8,0,,0.20189651799465538,0.24626156757057574,0
282,0.17305732,0.43202198,0.14882366197201338,0.135,0.193,0.21638059104461022,27.0,296,14,0,,0.06081006262521797,0.2200291948021233,0
691,0.15455501,0.30472347,0.06013258191740282,0.208,0.328,0.21108221222717716,28.0,688,3,0,,0.5488116360940265,0.24401091039281875,0
806,0.18327121,0.21248247,0.4382449617935332,0.073,0.074,0.19619972869064634,29.0,814,8,0,,0.20189651799465538,0.20831351977032567,0
121,0.15395173,0.20202745,0.05135889617050455,0.171,0.282,0.17206761708943996,30.0,126,5,0,,0.36787944117144233,0.19414038355972651,0
826,0.15368992,0.2909827,0.047264030432493546,0.187,0.096,0.15498732895370146,31.0,823,3,0,,0.5488116360940265,0.18791602711934305,0
1100,0.13610901,0.325181,0.07196938488982073,0.126,0.115,0.15485188033203673,32.0,1110,10,0,,0.1353352832366127,0.1629719973262335,0
112,0.0481885,0.15009627,0.1104403674170108,0.334,0.12,0.15254502699702444,33.0,126,14,0,,0.06081006262521797,0.15619363075453752,0
500,0.19998905,0.2881908,0.07401647603354046,0.067,0.125,0.15083926770655548,34.0,518,18,0,,0.02732372244729256,0.15247869105339304,0
940,0.1439675,0.3367043,0.0100480008214615,0.071,0.149,0.14214396178901,35.0,957,17,0,,0.03337326996032608,0.1441463579866296,0
302,0.19423357,0.22535942,0.02664073765660474,0.119,0.13,0.13904674582557905,36.0,296,6,0,,0.30119421191220214,0.15711839854031118,0
22,0.124161586,0.40237734,0.010100050312456733,0.05,0.108,0.13892779473904318,37.0,69,47,0,,8.272406555663223e-05,0.13893275818297657,0
1091,0.12961166,0.2962883,0.09656776293013243,0.072,0.061,0.13109354609627277,38.0,1083,8,0,,0.20189651799465538,0.1432073371759521,0
883,0.25862,0.19141032,0.04556035805747531,0.046,0.059,0.12011813399991515,39.0,913,30,0,,0.0024787521766663585,0.12026685913051513,0
162,0.12010126,0.29198462,0.01850847321410645,0.088,0.077,0.11911886981658074,40.0,126,36,0,,0.0007465858083766792,0.11916366496508334,0
933,0.11678668,0.1884039,0.08786228189418566,0.131,0.07,0.11881057348956636,41.0,913,20,0,,0.01831563888873418,0.11990951182289042,0
1189,0.08738451,0.14125858,0.1168022218341522,0.131,0.11,0.11728906227340088,42.0,1182,7,0,,0.2465969639416065,0.13208488010989727,0
96,0.1611245,0.21073037,0.017438155793145352,0.057,0.122,0.11365860546092095,43.0,87,9,0,,0.16529888822158653,0.12357653875421615,0
358,0.106010005,0.26547837,0.02539147159182961,0.047,0.076,0.10397596980874524,44.0,357,1,0,,0.8187307530779818,0.15309981499342415,0
859,0.07681101,0.24863952,0.013203954416932716,0.09,0.05,0.09573089731105608,45.0,837,22,0,,0.012277339903068436,0.09646753770524019,0
902,0.11362864,0.14411582,0.020402685000490372,0.11,0.087,0.09502942925969585,46.0,913,11,0,,0.11080315836233387,0.10167761876143588,0
972,0.039938327,0.1265165,0.03096758619263859,0.182,0.083,0.09248448383870739,47.0,957,15,0,,0.049787068367863944,0.09547170794077922,0
1179,0.065718696,0.112832755,0.017783898573578847,0.144,0.081,0.08426706978906422,49.0,1181,2,0,,0.6703200460356393,0.12448627255120256,0
14,0.06814354,0.21953118,0.010567461801190255,0.047,0.065,0.08204843588126084,50.0,69,55,0,,1.670170079024566e-05,0.08204943798330826,0
1491,0.054074652,0.25665876,0.014848373165454854,0.029,0.049,0.08071635767037201,51.0,1495,4,0,,0.44932896411722156,0.1076760955174053,0
239,0.062141653,0.1960849,0.008225769042275023,0.052,0.08,0.07969046477661564,52.0,258,19,0,,0.0223707718561656,0.08103271108798557,0
153,0.060356673,0.17642595,0.06700932548645604,0.036,0.055,0.07895838941574786,53.0,126,27,0,,0.004516580942612666,0.07922938427230462,0
804,0.078315206,0.15299654,0.035363542647208014,0.074,0.044,0.0769350577177694,54.0,796,8,0,,0.20189651799465538,0.08904884879744872,0
857,0.06605216,0.109672315,0.026578809474028794,0.069,0.111,0.07646065720997605,55.0,837,20,0,,0.01831563888873418,0.07755959554330011,0
1025,0.048850887,0.11185252,0.015535628672581918,0.109,0.084,0.07384780688209178,56.0,1015,10,0,,0.1353352832366127,0.08196792387628854,0
54,0.08121852,0.07305688,0.025088461999181147,0.106,0.071,0.07127277139506404,57.0,69,15,0,,0.049787068367863944,0.07425999549713587,0
631,0.05664073,0.06660041,0.015614206557755311,0.156,0.058,0.07057106959924789,58.0,624,7,0,,0.2465969639416065,0.08536688743574428,0
943,0.054238502,0.18216184,0.004274510358321087,0.036,0.075,0.07033497002215136,59.0,957,14,0,,0.06081006262521797,0.07398357377966444,0
403,0.049584076,0.14523259,0.022948170073046156,0.052,0.047,0.06335296678686417,60.0,377,26,0,,0.0055165644207607716,0.06368396065210981,0
275,0.020561745,0.04786795,0.03529493818511436,0.121,0.079,0.06074492672548666,61.0,258,17,0,,0.03337326996032608,0.06274732292310622,0
1063,0.041746013,0.13705726,0.013530371390105815,0.045,0.048,0.0570667287870887,62.0,1080,17,0,,0.03337326996032608,0.05906912498470826,0
160,0.034710076,0.11043534,0.01739447481031704,0.079,0.043,0.05690797746895847,63.0,126,34,0,,0.0011137751478448032,0.056974803977829155,0
528,0.06717118,0.124922484,0.009739040336788669,0.032,0.029,0.05256654065088053,64.0,530,2,0,,0.6703200460356393,0.09278574341301889,0
856,0.022703836,0.0690169,0.012218372504690603,0.116,0.04,0.05198782237684315,65.0,837,19,0,,0.0223707718561656,0.053330068688213085,0
217,0.023190448,0.09359632,0.004066367341408726,0.044,0.087,0.05037062645521355,66.0,258,41,0,,0.00027465356997214254,0.050387105669411875,0
462,0.010638549,0.048069894,0.00419883800717703,0.109,0.069,0.0481814562627127,69.0,453,9,0,,0.16529888822158653,0.058099389556007894,0
1019,0.030847529,0.10556041,0.00532937364284003,0.059,0.039,0.047947461926944664,70.0,1015,4,0,,0.44932896411722156,0.07490719977397796,0
1022,0.040394686,0.09271507,0.031826615095631804,0.025,0.046,0.04718727418194145,71.0,1015,7,0,,0.2465969639416065,0.06198309201843784,0
511,0.024683531,0.08857915,0.0042767358384722355,0.061,0.057,0.04710788305326688,72.0,518,7,0,,0.2465969639416065,0.06190370088976327,0
1023,0.021801291,0.08363281,0.004016171497164144,0.052,0.07,0.046290054886948664,73.0,1015,8,0,,0.20189651799465538,0.05840384596662799,0
1170,0.050918557,0.07657556,0.017791775663199637,0.039,0.045,0.04585717895418458,74.0,1181,11,0,,0.11080315836233387,0.05250536845592461,0
