model,fold,roc_auc,avg_precision
XGBoost,1,0.9344066785927251,0.5236292852591664
XGBoost,2,0.8182323513062812,0.22042990570256987
XGBoost,3,0.7979646812331638,0.3005941755550221
XGBoost,4,0.866507033822209,0.3336032684353555
XGBoost,5,0.8299910206524993,0.46135283781646963
LightGBM,1,0.9379844961240311,0.5389791088066951
LightGBM,2,0.8465814341300724,0.22742759985098518
LightGBM,3,0.8180185573181682,0.3516131145591449
LightGBM,4,0.8853636635737803,0.35908728955431846
LightGBM,5,0.8165219994013769,0.46424682011174206
XGBoost_SMOTE,1,0.960644007155635,0.5468248837996736
XGBoost_SMOTE,2,0.8451917732073374,0.23961868988287552
XGBoost_SMOTE,3,0.8216102963184676,0.23039702406132911
XGBoost_SMOTE,4,0.8674049685722838,0.29874370344005974
XGBoost_SMOTE,5,0.8500448967375038,0.4015435089455505
RandomForest,1,0.9785330948121646,0.7591789152097708
RandomForest,2,0.8154530294608116,0.21585539826087963
RandomForest,3,0.7940736306495062,0.26280159852266116
RandomForest,4,0.9028733912002395,0.38764769904470653
RandomForest,5,0.8174199341514516,0.4455496489433141
ExtraTrees,1,0.9707811568276685,0.7210151713545379
ExtraTrees,2,0.8321289605336297,0.2756748323112353
ExtraTrees,3,0.8169709667764143,0.28028173669131484
ExtraTrees,4,0.8910505836575875,0.36813150294805796
ExtraTrees,5,0.8504938641125412,0.5375413972287112
LogisticRegression,1,0.8959451401311866,0.3602700547328689
LogisticRegression,2,0.7387437465258477,0.16905519379308628
LogisticRegression,3,0.794971565399581,0.2364994392978782
LogisticRegression,4,0.9099072134091589,0.33203657262579156
LogisticRegression,5,0.8266985932355582,0.27744795744795747
GradientBoosting_SMOTE,1,0.9633273703041145,0.5641969241253678
GradientBoosting_SMOTE,2,0.8254585881045026,0.20793194715333616
GradientBoosting_SMOTE,3,0.7892846453157738,0.202344700721033
GradientBoosting_SMOTE,4,0.847051780903921,0.32387071325045735
GradientBoosting_SMOTE,5,0.8443579766536965,0.42389696798244114
AdaBoost_SMOTE,1,0.9505068574836018,0.48372584410498415
AdaBoost_SMOTE,2,0.825041689827682,0.19581622660846093
AdaBoost_SMOTE,3,0.7886860221490571,0.12504448850351377
AdaBoost_SMOTE,4,0.838371744986531,0.31121828963744197
AdaBoost_SMOTE,5,0.8506435199042204,0.34802904753031016
BalancedRandomForest,1,0.9646690518783542,0.6110952713271907
BalancedRandomForest,2,0.8225403001667594,0.2134769698804529
BalancedRandomForest,3,0.8240047889853338,0.32466106273120326
BalancedRandomForest,4,0.868751870697396,0.345734501455215
BalancedRandomForest,5,0.8504938641125411,0.49472419702728737
EasyEnsemble,1,0.9481216457960645,0.593632201132201
EasyEnsemble,2,0.8087826570316843,0.23222462528740453
EasyEnsemble,3,0.8150254414845854,0.2410617892486433
EasyEnsemble,4,0.8865609099072134,0.3119274767464813
EasyEnsemble,5,0.8620173600718348,0.44734252373748506
IsolationForest,1,0.6103160405485987,0.06247434435433106
IsolationForest,2,0.6081156197887715,0.07769213382806676
IsolationForest,3,0.6064052678838671,0.06265199052871846
IsolationForest,4,0.5453457048787789,0.05676978971713202
IsolationForest,5,0.5199042202933253,0.050332763758709057
