threshold,recall,precision,f1,roc_auc,avg_precision,tn,fp,fn,tp,fpr,predicted_positive,model,n_models
0.009412651881575584,1.0,0.06991525423728813,0.1306930693069307,0.8641901126349026,0.2791901341805339,408,878,0,66,0.6827371695178849,944,XGBoost_SMOTE,1
0.0017788986442610621,1.0,0.06896551724137931,0.12903225806451613,0.8489089966539423,0.3056533975190103,395,891,0,66,0.692846034214619,957,XGBoost,1
0.20894780493581833,1.0,0.06889352818371608,0.12890625,0.8466292002450635,0.23051637555907942,394,892,0,66,0.6936236391912908,958,AdaBoost_SMOTE,1
0.3765815624536221,1.0,0.06853582554517133,0.1282798833819242,0.8627880672981761,0.3060665416284052,389,897,0,66,0.69751166407465,963,EasyEnsemble,1
0.009876984920993334,1.0,0.059033989266547404,0.11148648648648649,0.8490385974833875,0.2705008741232163,234,1052,0,66,0.8180404354587869,1118,GradientBoosting_SMOTE,1
0.055,1.0,0.05779334500875657,0.10927152317880795,0.8602137235496489,0.3051855067833376,210,1076,0,66,0.8367029548989113,1142,BalancedRandomForest,1
0.00125,1.0,0.05550883095037847,0.1051792828685259,0.8692563268768557,0.34920153872633897,163,1123,0,66,0.8732503888024883,1189,ExtraTrees,1
0.00125,1.0,0.05550883095037847,0.1051792828685259,0.8574449785569537,0.3104603198802474,163,1123,0,66,0.8732503888024883,1189,RandomForest,1
0.0006556393944727508,1.0,0.05284227381905524,0.10038022813688213,0.8595127008812856,0.32200925513283163,103,1183,0,66,0.9199066874027994,1249,LightGBM,1
0.07691917223126205,1.0,0.05128205128205128,0.0975609756097561,0.5766412177765211,0.0544760853573753,65,1221,0,66,0.9494556765163297,1287,IsolationForest,1
7.593839104466468e-21,1.0,0.04907063197026022,0.09355067328136074,0.8296573825345209,0.22963644330003413,7,1279,0,66,0.994556765163297,1345,LogisticRegression,1
